[2025-03-18 04:29:19,704] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:29:42,065] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:29:42,531] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:29:44,671] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 30 embedding in ChromaDB
[2025-03-18 04:29:44,746] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 30 embedding in ChromaDB
[2025-03-18 04:29:44,838] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:30:53,983] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:30:54,374] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:31:05,011] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:31:05,394] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:31:19,074] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:31:19,454] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:31:31,330] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:31:56,214] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:32:46,758] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:33:13,578] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:33:14,071] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:33:15,882] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 31 embedding in ChromaDB
[2025-03-18 04:33:15,968] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 31 embedding in ChromaDB
[2025-03-18 04:33:16,345] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:33:29,382] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:33:30,224] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:34:49,999] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:08,593] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:19,015] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:19,455] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:21,178] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 32 embedding in ChromaDB
[2025-03-18 04:36:21,549] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:31,938] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:32,734] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:36:40,793] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:53,248] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:36:53,622] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:37:43,315] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:37:43,708] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:38:11,019] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:14,578] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:15,037] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:15,386] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 30 embedding from ChromaDB
[2025-03-18 04:38:15,558] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:17,184] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:17,640] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:17,978] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 23 embedding from ChromaDB
[2025-03-18 04:38:18,161] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:19,673] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:20,139] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:20,532] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 31 embedding from ChromaDB
[2025-03-18 04:38:20,699] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:22,546] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:23,031] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:23,363] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 29 embedding from ChromaDB
[2025-03-18 04:38:23,541] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:25,437] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:25,843] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:26,176] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 28 embedding from ChromaDB
[2025-03-18 04:38:26,346] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:27,894] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:28,308] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:28,647] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 27 embedding from ChromaDB
[2025-03-18 04:38:28,827] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:35,728] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
